# Total_number_of_molecules,Total_potential_energy_K
38.00000000,-143023.95816306
42.00000000,-153301.27302449
44.00000000,-159256.14220315
44.00000000,-160007.98329501
44.00000000,-158762.53147407
46.00000000,-161450.14623801
45.00000000,-159461.40554418
47.00000000,-165493.18343544
51.00000000,-172842.57686581
50.00000000,-170993.62410548
50.00000000,-172850.32979551
51.00000000,-178206.40337220
52.00000000,-180099.14615368
50.00000000,-173685.61887330
50.00000000,-173886.08851576
52.00000000,-178820.25697643
50.00000000,-174146.11052655
51.00000000,-175167.07835575
55.00000000,-185360.74230903
55.00000000,-186957.06635530
52.00000000,-179472.80638548
53.00000000,-182396.22903220
55.00000000,-189456.81867586
53.00000000,-183398.27389165
53.00000000,-184120.69689275
53.00000000,-184262.54615384
56.00000000,-193067.26393357
59.00000000,-200351.94703709
60.00000000,-205276.49638416
61.00000000,-210220.89937392
64.00000000,-221106.39325086
61.00000000,-213476.82853948
60.00000000,-209690.97480483
60.00000000,-209074.55284489
61.00000000,-212057.90002570
66.00000000,-227015.95916940
68.00000000,-232629.17130569
69.00000000,-235565.06784290
71.00000000,-241669.70672820
67.00000000,-232378.72692634
67.00000000,-233042.78797955
65.00000000,-228302.41158058
68.00000000,-235974.15666217
65.00000000,-225803.10414304
67.00000000,-230284.33925644
62.00000000,-217303.92793932
62.00000000,-218028.70491494
63.00000000,-222736.56347041
66.00000000,-232926.28000181
65.00000000,-231984.38745472
68.00000000,-238725.19241305
74.00000000,-255052.56824686
76.00000000,-260194.59674081
78.00000000,-265005.85717556
78.00000000,-266241.68080014
78.00000000,-265996.09312538
75.00000000,-257729.57873044
77.00000000,-263290.89749892
75.00000000,-259278.99335778
71.00000000,-247340.64381908
75.00000000,-255137.14671714
74.00000000,-255141.57130292
70.00000000,-243390.16023868
71.00000000,-246226.92415340
71.00000000,-248951.32879565
70.00000000,-245966.08896375
70.00000000,-246938.24774255
69.00000000,-243153.33828270
66.00000000,-232826.18630624
67.00000000,-233993.62263661
66.00000000,-231890.26333494
66.00000000,-230947.51663774
68.00000000,-237739.38201380
69.00000000,-241522.39108446
66.00000000,-233281.88005338
66.00000000,-232433.04639218
64.00000000,-228264.54536811
64.00000000,-227412.34312911
65.00000000,-228901.83833103
65.00000000,-231299.92338121
65.00000000,-230406.20852930
67.00000000,-235002.42369043
66.00000000,-230310.74733350
69.00000000,-236427.30286591
65.00000000,-226030.86026410
65.00000000,-227017.40677332
63.00000000,-221610.82667565
64.00000000,-223117.80267082
60.00000000,-212890.60381287
64.00000000,-220663.54449947
65.00000000,-223605.82512486
68.00000000,-231822.58225143
68.00000000,-232337.87373132
68.00000000,-233513.08736790
66.00000000,-227965.60833484
68.00000000,-233868.66416022
71.00000000,-242984.76075122
71.00000000,-245223.07170733
73.00000000,-249984.40641069
72.00000000,-247659.56606579
74.00000000,-253754.54963569
78.00000000,-267492.62382676
82.00000000,-276894.30729745
79.00000000,-269562.01990881
80.00000000,-271060.51657805
77.00000000,-260197.69061824
74.00000000,-250619.23515210
73.00000000,-247010.66929778
71.00000000,-243563.82218613
72.00000000,-244608.47781621
70.00000000,-240371.46377419
